time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130107:0200,-10.57,47.85,338.65,978.6,74.55,180.15,0.62,126,83250
20130107:0300,-7.43,40.7,465.15,968.03,86.05,181.9,0.55,102,83280
20130107:0400,-5.36,36.2,536,943.72,91.6,184.6,0.76,40,83290
20130107:0500,-3.88,32.15,543.6,898.63,92.2,186.95,1.86,17,83240
20130107:0600,-2.93,28.4,487.7,826.7,87.8,188.1,2.97,14,83190
20130107:0700,-2.79,29.7,373.35,709.29,78,188.1,3.59,5,83120
20130107:0800,-2.97,28.4,215.3,509.48,59.95,187.15,4.21,4,83180
20130107:0900,-3.69,28.1,52.1,192.18,21.95,185.6,3.93,3,83240
20130107:1000,-4.91,29.1,0,0,0,182.85,2.83,357,83350
20130107:1100,-5.87,31.55,0,0,0,181.3,2.21,344,83460
20130107:1200,-6.64,34.2,0,0,0,179,1.79,326,83540
20130107:1300,-7.54,35.6,0,0,0,177.85,1.59,308,83620
20130107:1400,-8.54,38.65,0,0,0,177.05,1.66,302,83670
20130107:1500,-9.58,40.1,0,0,0,175.5,1.59,301,83700
20130107:1600,-10.34,41.8,0,0,0,174.55,1.24,290,83700
20130107:1700,-11.02,43.6,0,0,0,174.35,1.17,274,83680
20130107:1800,-11.97,47.4,0,0,0,173.95,1.17,272,83660
20130107:1900,-12.88,51.6,0,0,0,174.15,1.31,268,83620
20130107:2000,-13.47,51.45,0,0,0,175.15,1.31,264,83650
20130107:2100,-13.86,53.7,0,0,0,179.4,1.31,263,83650
20130107:2200,-14.15,56.05,0,0,0,181.15,1.31,266,83660
20130107:2300,-14.29,56.05,0,0,0,185.2,1.31,267,83720
20130108:0000,-14.65,58.5,0,0,0,178.8,1.45,265,83760
20130108:0100,-14.61,56.05,171.45,1002.57,56.75,176.2,1.45,256,83840
20130108:0200,-11.75,45.3,333.05,924.95,82.7,174.55,1.1,246,83920
20130108:0300,-8.75,38.5,464.25,952.81,90,175.7,1.17,258,83920
20130108:0400,-7.21,34.05,539.3,953.74,88.7,177.85,1.17,290,83880
20130108:0500,-6.13,32.85,550.05,918.9,86.7,178.6,1.24,318,83760
20130108:0600,-5.23,31.7,492.65,830.9,88.85,179.75,1.59,342,83680
20130108:0700,-5.37,31.7,378.5,708.74,81.6,179.6,1.38,6,83630
20130108:0800,-5.29,31.7,223.7,534.77,59.2,178.8,0.97,19,83630
20130108:0900,-5.47,30.3,55.15,207.01,22.1,177.85,0.83,45,83640
20130108:1000,-6.1,31.4,0,0,0,176.3,1.24,55,83660
20130108:1100,-7.05,32.7,0,0,0,176.85,1.52,64,83680
20130108:1200,-7.81,35.45,0,0,0,175.9,1.38,82,83710
20130108:1300,-8.63,38.5,0,0,0,175.9,1.31,106,83700
20130108:1400,-9.65,40.1,0,0,0,175.5,1.17,124,83680
20130108:1500,-10.42,41.8,0,0,0,175.3,1.1,137,83660
20130108:1600,-11.08,43.6,0,0,0,174.95,1.1,149,83640
20130108:1700,-11.79,47.4,0,0,0,174.15,1.24,152,83580
20130108:1800,-12.45,49.45,0,0,0,174.35,1.38,152,83530
20130108:1900,-13.19,53.8,0,0,0,174.55,1.59,168,83450
20130108:2000,-13.67,56.15,0,0,0,175.7,1.72,172,83400
20130108:2100,-14.12,56.15,0,0,0,175.9,1.79,176,83280
20130108:2200,-14.41,58.6,0,0,0,176.7,1.86,179,83230
20130108:2300,-14.63,58.6,0,0,0,176.85,1.93,183,83240
20130109:0000,-14.84,61.2,0,0,0,177.25,2,191,83260
20130109:0100,-14.58,58.6,175.2,1060.89,53.25,177.35,2.07,198,83290
20130109:0200,-11.48,47.55,341.5,984.5,74.15,179,1.72,196,83320
20130109:0300,-7.86,40.55,470.2,976.87,85.25,180.55,1.86,194,83330
20130109:0400,-4.93,34.8,543.4,955.34,90.45,183.05,1.93,192,83300
20130109:0500,-2.86,32.45,553.05,912.84,90.9,185.4,2.14,196,83190
20130109:0600,-1.4,30.15,498.55,843.28,86.75,187.7,2.34,205,83120
20130109:0700,-1.13,30.15,384.3,728.44,77.25,187.3,1.93,219,83100
20130109:0800,-0.77,29,225.15,532.09,60,188.1,1.66,230,83110
20130109:0900,-0.92,29,57.5,211.69,23.1,187.7,1.03,238,83120
20130109:1000,-1.74,30,0,0,0,186.35,0.34,265,83180
20130109:1100,-2.91,32.45,0,0,0,185.95,0.07,326,83230
20130109:1200,-4.09,36.5,0,0,0,184.8,0.21,288,83270
20130109:1300,-5.26,39.55,0,0,0,183.45,0.55,259,83310
20130109:1400,-6.91,44.65,0,0,0,183.05,0.97,242,83340
20130109:1500,-8.65,52.55,0,0,0,182.1,1.45,232,83340
20130109:1600,-9.86,54.75,0,0,0,181.5,1.72,221,83320
20130109:1700,-10.67,59.5,0,0,0,180.75,1.93,213,83280
20130109:1800,-11.38,62.05,0,0,0,180.15,1.93,207,83230
20130109:1900,-11.78,64.7,0,0,0,180.75,1.72,217,83180
20130109:2000,-12.27,67.5,0,0,0,180.55,1.66,219,83170
20130109:2100,-12.77,70.4,0,0,0,180.75,1.59,229,83110
20130109:2200,-13.28,70.3,0,0,0,179.95,1.66,243,83140
20130109:2300,-13.69,73.35,0,0,0,180.15,2,247,83220
20130110:0000,-13.98,70.2,0,0,0,179.6,2.28,241,83300
20130110:0100,-13.73,70.2,176.55,1069.18,52.95,179.5,2.21,237,83370
20130110:0200,-10.4,52.3,343.4,989.68,73.65,180.95,1.72,233,83420
20130110:0300,-6.38,41,472.25,979.01,85.1,182.7,1.72,232,83440
20130110:0400,-3.38,30.9,545.5,956.62,90.25,185.75,1.45,247,83450
20130110:0500,-1.74,23,555.25,913.04,91.05,188.7,1.72,304,83370
20130110:0600,-0.83,19.4,500.85,843.45,86.9,189.45,2.9,326,83290
