time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20090723:2100,20.07,31.95,0,0,0,317.55,3.31,93,82500
20090723:2200,19.21,35.45,0,0,0,321.05,2.97,107,82510
20090723:2300,18.9,38.1,207.35,686.26,81.9,315.65,2.48,107,82520
20090724:0000,21.24,32.2,415.25,834.03,102.8,317.95,2.69,96,82560
20090724:0100,23.79,26.35,617.85,904.51,113.85,322.5,3.59,96,82620
20090724:0200,26.27,22.4,784.45,908.83,133.8,327.45,3.66,100,82650
20090724:0300,28.55,19,912.15,928.82,132,340.4,3.79,102,82620
20090724:0400,30.39,16.65,982.25,915.49,139.25,348.55,3.59,105,82610
20090724:0500,31.77,14.05,973.1,830.44,181.65,357.25,3.17,105,82560
20090724:0600,32.74,12.25,725.6,412.44,340.2,373.1,2.9,95,82500
20090724:0700,32.81,10.9,607.25,369.87,286.85,395,3.45,60,82460
20090724:0800,33,10.5,518.3,348.82,255.6,393.05,4.07,56,82440
20090724:0900,33.13,10.1,341.15,263.04,182.6,386.3,4.62,58,82390
20090724:1000,32.68,10.1,206.85,246.22,102.1,385.9,5.45,62,82370
20090724:1100,31.66,10.3,65.95,118.13,38.4,361.7,6.83,67,82360
20090724:1200,30.27,11.3,1.05,0,1.05,353,6.48,73,82380
20090724:1300,28.95,12.05,0,0,0,346.2,5.31,83,82450
20090724:1400,27.72,13.9,0,0,0,345.85,4.62,87,82540
20090724:1500,26.33,16.5,0,0,0,347.75,4.55,81,82580
20090724:1600,24.79,19.65,0,0,0,338.85,4.62,76,82580
20090724:1700,23.42,23.4,0,0,0,331.3,4.28,80,82550
20090724:1800,22.32,25.95,0,0,0,329.2,3.86,86,82530
20090724:1900,21.77,23.9,0,0,0,325.9,3.59,84,82520
20090724:2000,21.12,25.65,0,0,0,342.55,3.31,88,82500
20090724:2100,20.37,28.5,0,0,0,338.5,3.03,91,82470
20090724:2200,19.46,30.5,0,0,0,332.65,2.62,90,82450
20090724:2300,19.26,32.9,164.75,279.88,114.2,332.65,2.48,88,82470
20090725:0000,20.73,30.9,308.85,262.7,210.95,338.65,2.69,87,82490
20090725:0100,22.75,29.2,532.1,524.48,240.75,352.9,3.24,89,82540
20090725:0200,25.29,26.7,700.9,651,235.8,352.4,3.45,93,82520
20090725:0300,27.74,23.6,814.4,652.13,267.5,361.5,3.52,99,82500
20090725:0400,29.78,21.5,758.15,402.77,387.75,377.2,3.17,102,82480
20090725:0500,30.99,18.75,594.75,182.21,421.3,392.3,2.41,101,82430
20090725:0600,31.42,16.85,722,416.58,333.2,399.65,1.24,92,82400
20090725:0700,32.29,15.25,566.95,351.49,262.9,404.65,2.62,49,82400
20090725:0800,32.52,15.25,410.9,245.09,226.65,405.65,2.83,35,82390
20090725:0900,32.11,15.75,270.55,206.91,146.15,407.75,3.03,34,82380
20090725:1000,31.41,16.25,110.7,25.37,99.95,402.55,2.76,24,82410
20090725:1100,30.46,17.95,26.3,4.76,25.2,406.6,2.48,349,82480
20090725:1200,29.64,18.5,0.3,0,0.3,408.55,4.34,304,82540
20090725:1300,28.3,20.45,0,0,0,407,6.21,288,82600
20090725:1400,26.24,25.05,0,0,0,398.85,7.59,278,82680
20090725:1500,24.24,30.7,0,0,0,393.85,8.21,280,82730
20090725:1600,22.58,35.1,0,0,0,387.85,9.03,290,82760
20090725:1700,21.45,38.75,0,0,0,367.7,7.86,286,82770
20090725:1800,20.59,41.55,0,0,0,364.8,6.62,280,82750
20090725:1900,19.33,47.65,0,0,0,371.75,8,294,82760
20090725:2000,18.09,51.15,0,0,0,368.3,7.59,295,82760
20090725:2100,16.95,60.85,0,0,0,358.6,7.1,297,82800
20090725:2200,16.47,62.95,0,0,0,351.85,6.21,296,82800
20090725:2300,16.28,65.25,36.2,0.56,36.1,360.55,5.52,299,82820
20090726:0000,16.07,67.65,58.2,0.13,58.15,364.6,5.45,304,82890
20090726:0100,15.96,70,127.25,0.63,126.9,368,5.1,312,82940
20090726:0200,16.33,67.65,172.55,5.19,168.85,368.65,4.83,324,82960
20090726:0300,16.67,65.35,205.9,0.84,205.2,371.2,4.21,340,82970
20090726:0400,17.03,63.2,267,10.02,257.8,374.45,3.38,358,82960
20090726:0500,17.49,63.2,296.25,9.99,286.75,374.45,2.48,20,82920
20090726:0600,17.98,58.9,611.25,361.16,274.6,380.3,1.59,45,82870
20090726:0700,21,43.1,303.3,25.93,280.9,379.9,1.31,349,82750
20090726:0800,21.26,41.7,265.15,74.1,209.55,396.9,1.52,346,82740
20090726:0900,21.59,40.35,193.3,25.27,178.15,393.45,1.45,352,82690
20090726:1000,21.8,38.9,124,41.48,106.5,389,1.31,357,82650
20090726:1100,21.77,38.9,49.85,54.34,37.4,377.75,1.03,16,82610
20090726:1200,21.28,43.25,0.7,0,0.7,352,0.55,73,82630
20090726:1300,20.41,47.9,0,0,0,331.9,0.62,147,82650
20090726:1400,19.32,59.15,0,0,0,327.85,1.31,180,82700
20090726:1500,18.37,59.05,0,0,0,324.55,1.93,199,82690
20090726:1600,17.5,60.95,0,0,0,323.2,2.28,206,82670
20090726:1700,16.93,63.05,0,0,0,320.1,2.55,210,82640
20090726:1800,16.43,62.95,0,0,0,317,2.62,213,82590
20090726:1900,15.42,67.45,0,0,0,307.1,2.69,203,82630
20090726:2000,14.54,69.85,0,0,0,301.9,2.48,201,82590
20090726:2100,13.81,77.6,0,0,0,304.2,2.34,196,82580
20090726:2200,13.27,80.35,0,0,0,308.5,2.34,193,82570
20090726:2300,13.33,80.35,212.15,833.87,65.25,299.4,2.21,194,82560
20090727:0000,16.1,67.65,418,891.51,89.3,295.1,2.14,192,82570
20090727:0100,19.09,55.05,617.05,924.95,106.45,302.8,2.34,191,82580
20090727:0200,21.72,43.4,786.85,939.07,118.8,312.55,2.69,192,82600
20090727:0300,24.13,31.85,912.6,940.97,126,322.2,2.97,193,82590
20090727:0400,25.89,23.15,969.4,916.67,128.65,329.2,3.03,188,82570
20090727:0500,26.83,19.35,988.85,905.04,129.45,334.2,2.55,182,82510
20090727:0600,27.51,18.05,940.05,877.64,123.05,336.35,2.21,175,82460
20090727:0700,27.64,16.85,824.85,817.03,120.2,335.2,2.41,159,82430
20090727:0800,28,16.85,668.1,747.77,108.1,334.6,2.55,157,82380
20090727:0900,28.15,16.3,473.35,634.83,93.75,334.2,2.69,162,82360
20090727:1000,27.93,16.85,264.4,459.14,71.6,332.85,2.9,159,82280
20090727:1100,27.5,17.4,74.85,176.05,34.9,328.2,3.1,158,82260
20090727:1200,26.56,20,0.65,0,0.65,326.3,2.83,157,82250
20090727:1300,25.17,23.9,0,0,0,319.9,2.69,151,82300
20090727:1400,23.83,27.35,0,0,0,316.6,2.9,149,82340
20090727:1500,22.44,31.3,0,0,0,314.85,2.83,154,82340
20090727:1600,21.1,34.7,0,0,0,312.15,2.83,157,82320
20090727:1700,19.86,38.35,0,0,0,310.6,2.76,155,82280
20090727:1800,18.81,41.05,0,0,0,310.8,2.9,157,82230
20090727:1900,18.72,39.55,0,0,0,312.35,3.52,173,82220
20090727:2000,17.98,42.45,0,0,0,318.15,3.45,176,82190
20090727:2100,16.99,47.15,0,0,0,312.35,3.17,177,82210
20090727:2200,16.09,50.6,0,0,0,311.75,3.1,177,82170
20090727:2300,15.86,56.35,187.4,685.15,68.25,308.65,2.9,178,82190
20090728:0000,18.21,47.55,390.75,772.6,107.45,319.3,2.83,177,82190
20090728:0100,21.22,40.2,601.4,875.31,119.75,321.15,4.07,177,82190
20090728:0200,23.81,35.4,773.15,906.68,129.55,330.75,5.45,175,82200
20090728:0300,26.26,29.05,900.75,930.08,124.55,338.3,5.79,174,82160
20090728:0400,28.33,24.65,959.8,899.12,136.3,347.2,6,174,82120
20090728:0500,29.83,21.5,967,870.12,141.85,355.1,6,176,82070
20090728:0600,30.92,19.45,845.9,691.03,203.5,363.85,5.52,177,82020
20090728:0700,31.26,18.15,707.45,539.27,243.1,368.5,4.97,184,81990
20090728:0800,31.44,17.5,397.2,195.16,251.35,376.6,3.79,187,81960
20090728:0900,31.21,16.85,284.2,198.68,165.75,386.85,3.03,184,81960
20090728:1000,30.32,17.95,122.15,44.75,103.45,390.95,2.97,214,81940
20090728:1100,28.93,21.35,45.65,31.83,38.5,385.7,4.07,244,82010
20090728:1200,26.94,28.1,0.35,0,0.35,375.25,2.48,233,82080
20090728:1300,26.08,32.25,0,0,0,372.75,1.72,192,82060
20090728:1400,25.2,35.8,0,0,0,361.3,1.72,172,82100
20090728:1500,24.14,39.55,0,0,0,350.5,2.34,168,82120
20090728:1600,23.13,40.75,0,0,0,348.15,3.1,173,82110
20090728:1700,22.03,48.3,0,0,0,346.4,3.66,178,82100
20090728:1800,21.04,55.45,0,0,0,353,3.72,182,82050
20090728:1900,20.63,51.65,0,0,0,344.5,2.9,185,82080
20090728:2000,19.65,59.25,0,0,0,343.3,2.9,184,82090
20090728:2100,18.72,65.65,0,0,0,336.55,2.9,184,82090
20090728:2200,17.8,70.35,0,0,0,328.2,2.97,183,82120
20090728:2300,17.51,75.4,197.6,733.89,71.65,323.95,2.62,185,82120
20090729:0000,19.47,68.1,401.45,840.81,94.85,322.05,2.76,185,82130
20090729:0100,21.64,57.65,602.75,903.32,107.3,328.9,3.66,187,82160
20090729:0200,24,50.55,762.3,888.79,132.8,338.5,4.41,188,82180
20090729:0300,26.4,40.1,887.6,904.05,134.4,351.05,4.07,184,82190
20090729:0400,28.48,30.65,925.85,861.65,137.8,362.65,3.72,172,82180
20090729:0500,30,25.8,932.5,828.01,148.35,370,3.72,162,82120
20090729:0600,31.16,21.85,799.2,643.49,201.85,379.3,3.79,160,82070
20090729:0700,31.81,20.45,787.85,757.07,137.05,385.1,4,165,82020
20090729:0800,32.34,19.8,608.15,609,154,383.4,3.72,167,81960
20090729:0900,32.57,19.8,388.5,459.66,115.3,382,3.45,169,81920
20090729:1000,32.26,19.1,188.9,239.16,89.45,383,4.21,155,81920
20090729:1100,31.18,19.55,53.5,81.65,35.35,388,5.1,153,81940
20090729:1200,29.57,23.85,0.4,0,0.4,392.45,5.03,156,81980
20090729:1300,28.26,26.5,0,0,0,372.15,4.76,155,82030
20090729:1400,26.75,33.7,0,0,0,357.45,5.24,164,82120
20090729:1500,25.21,41.25,0,0,0,363.25,5.79,174,82140
20090729:1600,23.78,47.15,0,0,0,368.85,5.59,178,82140
20090729:1700,22.64,52.1,0,0,0,369.85,4.76,179,82120
20090729:1800,21.72,55.65,0,0,0,367.3,4.07,178,82080
20090729:1900,21.33,57.55,0,0,0,371,3.79,176,82060
20090729:2000,20.63,61.6,0,0,0,366.35,2.9,172,82050
20090729:2100,20.02,65.85,0,0,0,362.85,2.41,166,82080
20090729:2200,19.5,68.1,0,0,0,362.1,2.14,163,82120
20090729:2300,19.33,68.1,108.2,58.18,98.35,365.2,2.21,165,82130
20090730:0000,19.87,65.85,267.45,230.43,183.9,368.3,3.45,174,82140
20090730:0100,21.08,61.7,357.45,144.15,278.65,366.85,4,182,82180
20090730:0200,22.38,55.8,421.9,94.88,354.85,378.95,3.66,181,82220
20090730:0300,23.81,50.55,487.2,108.75,396.75,386.85,3.17,176,82280
20090730:0400,25.13,44.3,409.35,36.14,376.35,394.4,3.03,175,82310
20090730:0500,25.92,41.4,369.4,35.11,336.2,400.8,2.97,173,82320
20090730:0600,26.67,37.5,445.25,47.2,401.5,401.55,2.9,173,82310
20090730:0700,26.64,38.85,473.3,107.21,381.3,401.2,2.97,189,82360
20090730:0800,27.51,36.3,417.5,162.56,296.55,400.4,2.69,189,82360
20090730:0900,28.22,31.75,332.85,213.69,206.25,397.7,2.28,182,82340
20090730:1000,28.58,28.5,180.45,154.96,116.35,387.85,2.34,161,82360
20090730:1100,28.28,27.5,51.65,82.56,33.5,381.25,3.1,150,82380
20090730:1200,26.91,33.7,0.25,0,0.25,375.25,3.86,160,82440
20090730:1300,25.07,42.65,0,0,0,361.9,4.34,176,82520
20090730:1400,23.48,52.25,0,0,0,360.55,4.62,184,82610
20090730:1500,22.04,59.7,0,0,0,348.15,4.55,186,82620
20090730:1600,20.99,63.8,0,0,0,345.05,4.28,192,82620
20090730:1700,20.21,65.95,0,0,0,340.2,4.14,197,82600
20090730:1800,19.6,65.85,0,0,0,338.1,4,200,82580
20090730:1900,19.07,70.55,0,0,0,334,4,205,82610
20090730:2000,18.48,72.95,0,0,0,331.7,3.59,201,82610
20090730:2100,17.91,75.45,0,0,0,329.2,3.24,194,82610
20090730:2200,17.35,78.1,0,0,0,329.4,2.83,185,82630
20090730:2300,17.32,80.85,192.75,765.65,64.9,326.65,2.41,179,82670
20090731:0000,19.43,73.05,389.05,816.89,94.55,329,2.62,179,82670
20090731:0100,21.51,61.7,558.55,720.03,166.25,337.6,3.79,184,82710
20090731:0200,23.7,50.55,746.3,850.51,146.65,351.05,4.07,188,82720
20090731:0300,25.88,39.95,858,797.49,195.9,362.5,3.38,184,82720
20090731:0400,27.59,32.65,786.35,653.3,190.65,375.65,2.21,174,82690
20090731:0500,28.56,27.5,803.1,685.04,156.2,386.3,1.17,146,82670
20090731:0600,29.41,24.75,797.45,716.5,134.35,386.1,0.9,99,82630
20090731:0700,30.04,24,699.85,660.78,133.85,389,0.9,56,82590
20090731:0800,30.48,22.4,554.4,565.81,134.4,394.4,1.31,26,82580
20090731:0900,30.74,21.75,383.7,480.73,99.85,388.6,2,9,82530
20090731:1000,30.86,20.95,178.1,256.45,72.6,383,2.48,8,82510
20090731:1100,30.6,21.6,47.9,78.92,30.75,393.05,2.83,18,82500
20090731:1200,30.17,21.6,0.15,0,0.15,400.8,3.1,34,82530
20090731:1300,29.24,24.75,0,0,0,395.2,2.9,69,82580
20090731:1400,27.79,30.5,0,0,0,389,2.76,114,82640
20090731:1500,26.55,38.7,0,0,0,389.4,1.93,149,82630
20090731:1600,20.93,53.21,0,0,0,362.62,2.69,209,82660
20090731:1700,21.02,52.2,0,0,0,359.59,2.82,269,82640
20090731:1800,21.12,51.2,0,0,0,356.57,2.95,296,82620
20090731:1900,21.21,50.19,0,0,0,353.54,3.08,342,82840
20090731:2000,21.31,49.19,0,0,0,350.51,3.2,337,82860
20090731:2100,21.4,48.18,0,0,0,347.48,3.33,328,82880
20090731:2200,21.5,47.18,0,0,0,344.45,3.46,324,82900
20090731:2300,21.59,46.17,149.3,493.52,68.05,341.43,3.59,322,82920
20110801:0000,21.69,45.17,401.35,853.61,95.4,338.4,3.71,158,82810
20110801:0100,21.78,44.16,601.95,893.47,116.8,335.37,3.84,148,82850
20110801:0200,21.88,43.16,765.9,867.71,155.55,332.34,3.97,146,82870
20110801:0300,21.97,42.15,887.65,877.13,160.75,329.32,4.1,146,82890
20110801:0400,22.07,41.15,770.6,613.02,212.5,326.29,4.23,142,82900
20110801:0500,22.16,40.14,962.7,853.96,157.5,323.26,4.35,138,82870
20110801:0600,22.26,39.14,918.7,860.46,123.65,320.23,4.48,136,82840
20110801:0700,22.35,38.13,779.3,723.04,161.15,317.2,4.61,135,82830
20110801:0800,26.2,26,592.75,624.95,130,339.25,5.1,129,82800
20110801:0900,25.89,26.85,426.75,520.58,120.45,335.55,5.93,124,82780
20110801:1000,25.16,28.75,231,360.47,83.55,331.5,6.07,128,82770
20110801:1100,23.98,35.4,66.25,158.38,32.25,330.55,5.66,126,82840
20110801:1200,22.02,41.95,0.2,0,0.2,324.95,4.97,128,82850
20110801:1300,20.25,49.7,0,0,0,317.55,4.34,137,82920
20110801:1400,19.04,55.05,0,0,0,312.15,3.72,146,82990
20110801:1500,17.85,60.95,0,0,0,307.9,2.83,159,82980
20110801:1600,16.5,65.35,0,0,0,302.3,2.34,173,82980
20110801:1700,15.5,70,0,0,0,298.2,2.34,177,82970
20110801:1800,14.6,72.4,0,0,0,295.1,2.34,180,82940
20110801:1900,14.08,69.75,0,0,0,291.85,2.55,195,82920
20110801:2000,13.22,74.75,0,0,0,290.85,2.48,199,82930
20110801:2100,12.5,74.7,0,0,0,289.3,2.48,197,82910
20110801:2200,11.85,80.15,0,0,0,287.6,2.48,188,82880
20110801:2300,11.92,77.35,202.55,858.16,63.3,287,2.28,184,82890
20110802:0000,15.37,72.45,410.1,901.32,88.95,290.1,1.86,175,82890
20110802:0100,19.57,46.1,611.6,933.51,106.45,297.55,2.34,167,82900
20110802:0200,22.04,33.7,783.6,947.5,118.7,306.75,3.38,165,82900
20110802:0300,23.96,27.35,909.55,946.39,126.7,313.9,4.9,161,82900
20110802:0400,25.3,23.9,979.1,933.99,130.15,320.1,6,155,82890
20110802:0500,26.25,21.55,987,912.22,128.2,323.4,6.69,151,82860
20110802:0600,26.98,21.7,930.2,867.16,130.3,326.65,7.03,148,82810
20110802:0700,27.87,21,815.55,806.05,127.8,330.75,6.41,146,82760
20110802:0800,28.13,20.35,648.7,707.45,126.2,333.25,6.41,146,82700
20110802:0900,28.04,19.6,455,603.09,101.45,334.8,6.28,148,82660
20110802:1000,27.56,20.25,241.85,394.6,81.4,333.05,6,149,82630
20110802:1100,26.7,21.7,65.9,160.17,31.95,332.85,5.24,146,82640
20110802:1200,25.03,26.7,0.1,0,0.1,327.45,4.34,139,82670
20110802:1300,23.21,32.75,0,0,0,323.95,4.14,140,82710
20110802:1400,21.91,37.5,0,0,0,321.45,4,149,82800
20110802:1500,20.86,41.55,0,0,0,324.75,3.79,158,82790
20110802:1600,19.88,46.1,0,0,0,321.65,3.66,163,82790
20110802:1700,18.7,51.15,0,0,0,311.4,3.24,167,82790
20110802:1800,17.62,54.7,0,0,0,307.9,3.24,164,82750
20110802:1900,17.01,54.6,0,0,0,305.55,3.17,177,82790
20110802:2000,16.03,54.45,0,0,0,298.4,3.17,180,82760
20110802:2100,15.11,58.35,0,0,0,295.3,3.1,180,82730
20110802:2200,14.14,62.55,0,0,0,292.8,2.97,185,82710
20110802:2300,13.77,67.15,201.5,864.09,63.35,291.25,2.76,190,82700
20110803:0000,16.73,56.6,406.95,886.55,92.95,294.35,2.48,187,82730
20110803:0100,20.63,41.55,610.8,929.27,109.7,300.65,3.38,181,82740
20110803:0200,22.87,32.6,782.8,942.51,123,308.85,5.03,180,82740
20110803:0300,24.78,26.6,904.45,921.89,143.3,317,5.52,176,82720
20110803:0400,26.43,21.55,958.45,845.05,191.6,325.7,5.66,171,82690
20110803:0500,27.79,18.75,944.45,750.27,239.25,333.65,5.93,166,82620
20110803:0600,28.83,16.95,883.75,698.34,240.7,341,6,163,82540
20110803:0700,29.34,15.8,755.75,603.6,241.8,345.45,5.31,158,82540
20110803:0800,29.7,15.3,586.2,509.44,210.95,344.3,5.1,152,82480
20110803:0900,29.75,15.3,384.3,350.94,179.35,345.25,4.9,146,82450
20110803:1000,29.36,15.8,187.3,161.22,122.15,345.65,5.03,142,82450
20110803:1100,28.45,17.5,54.4,63.59,41.1,348.75,4.9,138,82470
20110803:1200,26.81,20.9,0.05,0,0.05,341,4.62,131,82520
20110803:1300,24.87,26.6,0,0,0,336.75,4.76,129,82560
20110803:1400,23.18,31.55,0,0,0,330.15,4.48,131,82610
20110803:1500,21.83,38.9,0,0,0,332.5,3.59,139,82610
20110803:1600,20.73,46.35,0,0,0,341.75,2.34,152,82620
20110803:1700,19.38,57.1,0,0,0,339.05,1.59,179,82610
20110803:1800,18.58,59.05,0,0,0,341.55,1.79,201,82590
20110803:1900,17.92,60.95,0,0,0,343.5,1.93,204,82610
20110803:2000,17.51,58.8,0,0,0,346.6,2.21,230,82580
20110803:2100,17.27,56.6,0,0,0,339.25,2.41,250,82590
20110803:2200,17.19,52.65,0,0,0,340.6,2.62,257,82580
20110803:2300,17.44,47.3,138.8,259.09,98,334.6,2.83,264,82630
20110804:0000,19.56,39.8,317.15,440.58,162.05,330.55,3.03,281,82670
20110804:0100,22.03,31.3,549.3,679.46,184.2,334.35,5.45,309,82710
20110804:0200,23.8,29.45,711.7,701.03,222.15,340.2,6.62,325,82700
20110804:0300,25.2,26.7,817.7,680.36,257.05,343.3,6.55,332,82710
20110804:0400,26.39,25.05,912.95,730.8,250.9,349.3,6.21,335,82690
20110804:0500,27.46,23.5,961.85,825.21,187.5,354.35,6,335,82660
20110804:0600,28.29,22.75,764.2,540.97,266.95,359.2,6,334,82620
20110804:0700,28.35,21.15,726.6,651.91,172.7,372.75,4.55,320,82600
20110804:0800,28.61,19,482.4,391.67,194.7,369.05,4.62,314,82590
20110804:0900,28.35,19.6,284.7,185.32,176.9,373.5,5.31,316,82560
20110804:1000,27.75,21,143.3,122.29,94.2,379.3,5.72,319,82560
20110804:1100,26.91,22.5,27.5,19.63,23.45,385.3,6,319,82560
20110804:1200,25.33,27.7,0,0,0,381.25,5.24,316,82610
20110804:1300,24.3,31.85,0,0,0,389.2,3.79,318,82680
20110804:1400,23.58,32.9,0,0,0,373.3,2.07,325,82750
20110804:1500,22.72,37.75,0,0,0,360.75,0.83,354,82750
20110804:1600,21.49,44.95,0,0,0,338.1,0.62,57,82760
20110804:1700,20.43,47.9,0,0,0,340.2,0.55,51,82750
20110804:1800,19.86,47.8,0,0,0,351.85,0.28,52,82730
20110804:1900,19.26,47.65,0,0,0,340,0.28,176,82740
20110804:2000,18.46,51.15,0,0,0,334.4,0.55,195,82740
20110804:2100,17.11,58.7,0,0,0,327.85,0.97,199,82730
20110804:2200,15.86,62.85,0,0,0,318.55,1.31,201,82760
20110804:2300,15.58,62.85,172.75,688.78,65.95,326.3,1.38,204,82790
20110805:0000,18.36,51,371.3,783.56,97.15,328.4,1.17,205,82830
20110805:0100,20.97,40.2,567.95,841.59,117.35,332.95,1.45,213,82850
20110805:0200,22.82,37.75,714.45,831.11,135.5,341.2,1.38,262,82850
20110805:0300,24.09,34.25,864.75,854.23,162.2,352.4,1.17,292,82840
20110805:0400,25.51,29.95,932.65,874.77,141.55,357.65,1.31,314,82810
20110805:0500,26.7,27.1,860.15,745.28,162,360.95,1.66,330,82740
20110805:0600,27.71,26.25,798.45,676.54,177.75,377.4,1.93,344,82680
20110805:0700,28.2,28.35,558.35,403.29,216.45,383,3.03,339,82690
20110805:0800,28.31,28.35,434.95,405.64,137.85,401.2,3.1,338,82630
20110805:0900,28.37,27.35,259.05,218.02,132.75,398.45,3.31,338,82580
20110805:1000,28.14,25.45,186.9,251.74,86.5,388.6,3.45,340,82560
20110805:1100,27.81,25.3,47.65,108.22,25.65,370.4,3.03,350,82560
20110805:1200,27.16,23.5,0,0,0,357.85,1.72,3,82560
20110805:1300,26.26,25.05,0,0,0,351.85,0.76,81,82610
20110805:1400,24.79,34.4,0,0,0,342.15,0.97,163,82650
20110805:1500,23.06,37.9,0,0,0,335.2,1.38,186,82660
20110805:1600,21.58,40.35,0,0,0,329.4,1.72,193,82640
20110805:1700,20.32,44.6,0,0,0,326.5,2,194,82610
20110805:1800,19.27,47.65,0,0,0,322.8,2.14,196,82570
20110805:1900,18.67,47.55,0,0,0,317.2,2.62,191,82590
20110805:2000,17.83,50.85,0,0,0,314.3,2.69,191,82560
20110805:2100,17.04,50.75,0,0,0,311.75,2.76,193,82570
20110805:2200,16.33,52.5,0,0,0,308.65,2.83,196,82590
20110805:2300,16.15,54.45,191.2,849.82,61.5,307.3,2.69,198,82600
20110806:0000,19.16,45.95,397.05,889.41,87.8,310.6,2.55,197,82620
20110806:0100,22.82,36.4,597.8,922.62,105.6,318.05,2.9,197,82650
20110806:0200,25.86,27.85,769.3,937.2,118.1,328.8,3.52,202,82650
20110806:0300,28.4,18.9,895.6,937.21,126.35,339.45,3.38,207,82620
20110806:0400,29.52,15.2,964.85,923.41,131.25,347.4,1.93,183,82610
20110806:0500,30.42,13.75,967.65,891.45,134.05,353,1.66,148,82560
20110806:0600,31.15,12.9,899.8,810.59,157.55,355.9,1.59,130,82510
20110806:0700,31.73,11.6,773.15,739.58,147.6,361.3,1.45,125,82480
20110806:0800,32.05,11.15,631.95,698.88,121.6,363.65,1.31,114,82440
20110806:0900,32.13,10.8,439.45,585.87,101.5,357.65,1.38,112,82400
20110806:1000,31.95,11.15,235.25,416.86,70.15,350.65,1.45,115,82380
20110806:1100,31.52,11.05,59.25,163.31,26.55,347.55,1.86,111,82380
20110806:1200,30.74,11.4,0,0,0,341.2,2.28,110,82380
20110806:1300,29.55,12.65,0,0,0,337.3,2.62,116,82440
20110806:1400,28.15,13.9,0,0,0,334.8,2.76,126,82480
20110806:1500,26.62,16,0,0,0,331.5,2.9,142,82480
20110806:1600,25.25,18.3,0,0,0,329.4,3.1,160,82480
20110806:1700,24.16,21.1,0,0,0,327.05,3.38,176,82470
20110806:1800,23.2,24.3,0,0,0,324.95,3.79,188,82480
20110806:1900,22.25,23.15,0,0,0,320.5,3.59,202,82500
20110806:2000,21.42,25.65,0,0,0,318.75,3.66,200,82520
20110806:2100,20.44,29.6,0,0,0,317,3.52,199,82520
20110806:2200,19.39,34.15,0,0,0,314.65,3.45,198,82540
20110806:2300,18.87,38.1,190.9,865.34,60.95,313.1,3.17,195,82550
20110807:0000,21.36,34.7,398.6,900.83,87.35,314.5,2.97,193,82570
20110807:0100,24.72,28.65,601.2,933.17,105.2,320.4,3.72,193,82600
20110807:0200,27.44,23.5,774.15,947.4,117.55,329.55,4.55,195,82610
20110807:0300,29.96,17.85,902.2,947.92,125.75,338.85,4.97,196,82610
20110807:0400,31.72,12.55,967.45,924.44,134.45,347.2,4.48,189,82610
20110807:0500,32.72,10.5,972.8,897.14,135.4,353.55,4.48,177,82560
20110807:0600,33.41,9.4,909.95,838.91,143.3,354.75,4.21,173,82520
20110807:0700,33.56,9.75,768.35,710.66,168.7,364.2,3.52,177,82480
20110807:0800,33.67,9.1,602.45,616.1,153.95,366.35,2.9,171,82420
20110807:0900,33.62,9.1,383.3,420.18,142,374.85,2.07,162,82380
20110807:1000,33.32,9.4,202.65,287.25,89.7,372.55,2,149,82350
20110807:1100,32.96,9.7,44.9,83.97,28.35,372.75,3.24,132,82370
20110807:1200,31.4,12.45,0,0,0,365,4,135,82420
20110807:1300,29.72,14.75,0,0,0,361.5,4.9,147,82510
20110807:1400,28.25,17.5,0,0,0,350.85,5.31,152,82580
20110807:1500,26.94,19.35,0,0,0,342.75,4.9,157,82580
20110807:1600,25.74,21.45,0,0,0,334,4.21,164,82600
20110807:1700,24.64,23.75,0,0,0,331.5,3.52,173,82580
20110807:1800,23.42,27.2,0,0,0,328.6,3.03,180,82560
20110807:1900,22.04,29.05,0,0,0,324.15,3.03,181,82570
20110807:2000,21.03,32.2,0,0,0,322.8,3.03,181,82540
20110807:2100,20.03,35.75,0,0,0,320.85,2.9,182,82540
20110807:2200,19.07,39.65,0,0,0,318.75,2.83,185,82530
20110807:2300,18.7,42.6,185.6,847.62,60.4,317,2.69,188,82560
20110808:0000,21.26,37.35,390.35,883.17,87.15,319.3,2.62,192,82610
20110808:0100,24.26,33,590.7,917.01,105.1,326.4,3.59,196,82650
20110808:0200,26.7,28.1,761.8,931.57,117.85,335.75,4.07,199,82640
20110808:0300,29.1,22.2,887.95,932.77,125.5,346.4,3.72,198,82650
20110808:0400,30.97,17.4,956.85,920.28,129.15,356.85,2.69,185,82630
20110808:0500,32.28,14.15,939.5,843.49,153.65,364.4,2.41,154,82570
20110808:0600,33.22,12.35,861.9,732.31,194.05,370.2,2.62,139,82520
20110808:0700,33.45,11.85,666.75,512.82,235.1,382.2,2,136,82480
20110808:0800,33.36,11.4,543,495.16,183.7,389.55,1.72,136,82440
20110808:0900,33.07,11.8,371.1,408.38,137.65,380.45,1.17,138,82400
20110808:1000,32.22,12.6,204.55,312.99,82.4,375.85,0.62,199,82400
20110808:1100,31.51,13.95,48.4,112.72,26.55,365.95,1.45,163,82410
20110808:1200,30.9,14.4,0,0,0,361.1,1.52,154,82410
20110808:1300,30.07,15.45,0,0,0,352.2,1.66,134,82440
